[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  EPOCHS = 3000
  SEED = 0
  NOISE_P = 0.3
  N_EXPERTS = 4
  TOP_K = 4
  LAMBDA_MOE = 0.01

split：train 987 / val 123 / test 123

epoch 1115 | train_nll -1.29146 | train_fsce 0.74654 | train_moe 1.00000 | val_dev 0.74938
epoch 1120 | train_nll -1.29446 | train_fsce 0.74221 | train_moe 1.00000 | val_dev 0.74413
epoch 1125 | train_nll -1.30121 | train_fsce 0.68711 | train_moe 1.00000 | val_dev 0.73645
epoch 1130 | train_nll -1.30643 | train_fsce 0.68739 | train_moe 1.00000 | val_dev 0.74570
epoch 1135 | train_nll -1.30272 | train_fsce 0.68043 | train_moe 1.00000 | val_dev 0.74876
epoch 1140 | train_nll -1.30005 | train_fsce 0.68946 | train_moe 1.00000 | val_dev 0.74101
epoch 1145 | train_nll -1.31171 | train_fsce 0.64808 | train_moe 1.00000 | val_dev 0.75309
epoch 1150 | train_nll -1.30027 | train_fsce 0.68631 | train_moe 1.00000 | val_dev 0.73463
epoch 1155 | train_nll -1.30190 | train_fsce 0.68048 | train_moe 1.00000 | val_dev 0.72949
epoch 1160 | train_nll -1.29990 | train_fsce 0.67188 | train_moe 1.00000 | val_dev 0.72763
epoch 1165 | train_nll -1.29926 | train_fsce 0.70760 | train_moe 1.00000 | val_dev 0.72571
epoch 1170 | train_nll -1.30344 | train_fsce 0.66450 | train_moe 1.00000 | val_dev 0.72522
epoch 1175 | train_nll -1.30628 | train_fsce 0.67470 | train_moe 1.00000 | val_dev 0.74654
epoch 1180 | train_nll -1.29311 | train_fsce 0.72339 | train_moe 1.00000 | val_dev 0.74665
epoch 1185 | train_nll -1.29658 | train_fsce 0.70556 | train_moe 1.00000 | val_dev 0.74628
epoch 1190 | train_nll -1.30320 | train_fsce 0.71108 | train_moe 1.00000 | val_dev 0.73966
epoch 1195 | train_nll -1.30387 | train_fsce 0.66878 | train_moe 1.00000 | val_dev 0.75350
epoch 1200 | train_nll -1.30342 | train_fsce 0.69427 | train_moe 1.00000 | val_dev 0.76265
epoch 1205 | train_nll -1.29937 | train_fsce 0.66886 | train_moe 1.00000 | val_dev 0.76516
epoch 1210 | train_nll -1.30017 | train_fsce 0.66884 | train_moe 1.00000 | val_dev 0.76963
epoch 1215 | train_nll -1.30873 | train_fsce 0.67940 | train_moe 1.00000 | val_dev 0.74795
epoch 1220 | train_nll -1.30534 | train_fsce 0.68525 | train_moe 1.00000 | val_dev 0.75320
